_id,packageName,sourceDir,title,subtitle,description,websiteUrl,type,createdAt,updatedAt
ObjectId(58a795315fbc457423b174f2),com.cyberbounty.adapplib,com/cyberbounty/adapplib,CyberBounty - MobTab,,,http://www.mobtap.com/,ADVERTISEMENT,2017-02-18T00:16:36.006Z,2017-02-18T00:16:36.006Z
ObjectId(58a795315fbc457423b174f4),com.adgoji,com/adgoji,adgoji,,,http://www.adgoji.com/,ADVERTISEMENT,2017-02-18T00:16:36.007Z,2017-02-18T00:16:36.007Z
ObjectId(58a795325fbc457423b174f6),com.bitforce.apponsor,com/bitforce/apponsor,apponsor,,,http://www.bitforce-it.de/it-loesungen/apponsor/,ADVERTISEMENT,2017-02-18T00:16:36.008Z,2017-02-18T00:16:36.008Z
ObjectId(58a795335fbc457423b174f8),jason.advert.airpush,jason/advert/airpush,Airpush,,,http://www.airpush.com/,ADVERTISEMENT,2017-02-18T00:16:36.009Z,2017-02-18T00:16:36.009Z
ObjectId(58a795335fbc457423b174fa),com.vodafone.amobee,com/vodafone/amobee,Amobee,,,http://amobee.com/,ADVERTISEMENT,2017-02-18T00:16:36.010Z,2017-02-18T00:16:36.010Z
ObjectId(58a795335fbc457423b174fb),com.auditude.ads,com/auditude/ads,Auditude,,,http://www.auditude.com/,ADVERTISEMENT,2017-02-18T00:16:36.010Z,2017-02-18T00:16:36.010Z
ObjectId(58a795345fbc457423b174fc),com.hotmob.android,com/hotmob/android,HotMob,,,http://www.hot-mob.com/,ADVERTISEMENT,2017-02-18T00:16:36.011Z,2017-02-18T00:16:36.011Z
ObjectId(58a795345fbc457423b174fd),com.tomorrownetworks,com/tomorrownetworks,Tomorrownetworks,,,http://www.tomorrownetworks.com/,ADVERTISEMENT,2017-02-18T00:16:36.011Z,2017-02-18T00:16:36.011Z
ObjectId(58a795345fbc457423b174fe),com.quantcast,com/quantcast,Quantcast,,,https://www.quantcast.de/,ADVERTISEMENT,2017-02-18T00:16:36.011Z,2017-02-18T00:16:36.011Z
ObjectId(58a795345fbc457423b174ff),com.ad4kids.mobileads,com/ad4kids/mobileads,Ad4Kids,,,http://www.superawesome.tv/en/,ADVERTISEMENT,2017-02-18T00:16:36.012Z,2017-02-18T00:16:36.012Z
